"_ID","LIEU_DISTRIBUTION","TYPE_LIEU","NUMERO","ADRESSE","QUARTIER","QUARTIER_CIBLE","TYPE_DISTRIBUTION","RDV1","HDEBUT1","HFIN1","RDV2","HDEBUT2","HFIN2","RDV3","HDEBUT3","HFIN3","RDV4","HDEBUT4","HFIN4","OBSERVATIONS","CODE_POSTAL","COMMUNE","location"
"114","Boulangerie Le blé d'or","Commerce","30","Rue de Coulmiers","Malakoff - Saint-Donatien","Saint-Donatien","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2214550600641 , -1.53597049016502]"
"115","Boulangerie Rainard","Commerce","3","Route de Saint Joseph","Nantes Erdre","Saint-Donatien","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2349123885969 , -1.54129270631707]"
"45","Rue Emile Masson/Rue Fouré","","","Rue Emile Masson","Centre Ville","Centre-Ville","RDV","19/01/2015","14:30","19:00","26/05/2015","14:30","19:00","05/10/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2139678600975 , -1.54651886318017]"
"36","Carrefour City","Commerce","6","Avenue Carnot","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2141080267953 , -1.54563551728059]"
"37","Devant la Piscine Léo Lagrange","","","Boulevard des Nations Unies","Centre Ville","Centre-Ville","RDV","21/01/2015","14:30","19:00","27/05/2015","14:30","19:00","07/10/2015","14:30","19:00","","","","","44000","Nantes","[ 47.209924940714 , -1.56107045739242]"
"38","Place du Bouffay","","","Place du Bouffay","Centre Ville","Centre-Ville","RDV","22/01/2015","14:30","19:00","28/05/2015","14:30","19:00","08/10/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2147674483194 , -1.55328591629599]"
"39","Place de Bretagne","","","Place de Bretagne","Centre Ville","Centre-Ville","RDV","23/01/2015","14:30","19:00","29/05/2015","14:30","19:00","09/10/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2175064328734 , -1.55911151379809]"
"40","Place Dulcie September","","","Place Dulcie September","Centre Ville","Centre-Ville","RDV","24/01/2015","09:00","13:00","30/05/2015","09:00","13:00","10/10/2015","09:00","13:00","","","","","44000","Nantes","[ 47.2169571645123 , -1.55444617450992]"
"41","Quai Turenne/Square Jean-Baptiste Daviais","","","Quai Turenne","Centre Ville","Centre-Ville","RDV","26/01/2015","14:30","19:00","01/06/2015","14:30","19:00","12/12/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2128189777156 , -1.55414986696141]"
"42","Rue Huchette/Rue Gigant","","2","Rue Huchette","Centre Ville","Centre-Ville","RDV","28/01/2015","14:30","19:00","03/06/2015","14:30","19:00","14/10/2015","14:30","19:00","","","","","44100","Nantes","[ 47.214293051504 , -1.56914562067294]"
"43","Cours Saint Pierre","","","Cours Saint Pierre","Centre Ville","Centre-Ville","RDV","29/01/2015","14:30","19:00","04/06/2015","14:30","19:00","15/10/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2191674356457 , -1.54955272355555]"
"44","Cours Cambronne","","","Rue des Cadeniers","Centre Ville","Centre-Ville","RDV","31/01/2015","09:00","13:00","06/06/2015","09:00","13:00","17/10/2015","09:00","13:00","","","","","44000","Nantes","[ 47.2124318278172 , -1.56246151143316]"
"22","Nantes Métropole, bâtiment Valmy","Service communautaire","11","Avenue Carnot","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.213772438875 , -1.54478429944349]"
"23","Casino","Commerce","21","Chaussée de la Madeleine","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2107539109625 , -1.55128301666213]"
"24","Le Fournil d'Aristide","Commerce","26","Rue Jean Jaurès","Hauts Pavés - Saint Félix","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2183146463099 , -1.56182083830304]"
"25","Mairie Centrale","Mairie","29","Rue de Strasbourg","Centre Ville","Centre Ville","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2187408227225 , -1.5536958967268]"
