"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","MODE_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"0200","Passage Alvar Aalto","NANTES","Aalto","PRIVEE","NANTES Rue de Pilleux","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Dervallières - Zola",""
"0059","Ruelle Aino Aalto","NANTES","Aalto","PRIVEE","NANTES Venelle Lina Bo Bardi","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Doulon - Bottière",""
"0010","Impasse de l'Abbaye","NANTES","Abbaye","PRIVEE","NANTES Rue de l'Abbaye","Impasse","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0012","Rue de l'Abbaye","NANTES","Abbaye","PUBLIQUE","NANTES Rue Eugène Le Roux","NANTES Rue du Bois Hardy","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0025","Allée des Abeilles","NANTES","Abeilles","PUBLIQUE","NANTES Rue Francis Portais","NANTES Rue de l'Adour","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"6584","Rue Pierre Abélard","NANTES","Abélard","PUBLIQUE","NANTES Boulevard des Anglais","NANTES Boulevard Jean XXIII","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Breil - Barberie",""
"0023","Impasse des Abélias","NANTES","Abélias","PRIVEE","NANTES Rue du Port Durand","Impasse","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Nantes Erdre",""
"0024","Rue de l'Abreuvoir","NANTES","Abreuvoir","PUBLIQUE","NANTES Place du Cirque","","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"0028","Avenue des Acacias","NANTES","Acacias","PRIVEE","NANTES Avenue Camus","NANTES Avenue Emile Boissier","TRI'SAC","bacs","unique","","mardi et vendredi","","","Hauts Pavés - Saint Félix",""
"0029","Rue des Acadiens","NANTES","Acadiens","PUBLIQUE","NANTES Place des Garennes","NANTES Rue de Miséry","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"4717","Rue Konrad Adenauer","NANTES","Adenauer","PUBLIQUE","NANTES Boulevard Général de Gaulle","NANTES Rue André Tardieu","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"1960","Rue Clément Ader","NANTES","Ader","PUBLIQUE","NANTES Rue Louis Guiotton","NANTES Rue de Thann","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Doulon - Bottière",""
"0033","Rue de l'Adour","NANTES","Adour","PUBLIQUE","NANTES Rue Francis Portais","NANTES Rue Romain Rolland","TRI'SAC","colonnes","unique","","","","","Bellevue - Chantenay - Sainte Anne",""
"0035","Rue de l'Adriatique","NANTES","Adriatique","PUBLIQUE","NANTES Rue d'Irlande","NANTES Boulevard de Sarrebruck","TRI'SAC","colonnes","unique","","","","","Malakoff - Saint-Donatien",""
"0045","Rue Affre","NANTES","Affre","PUBLIQUE","NANTES Rue de Feltre","NANTES Place Félix Fournier","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"0049","Impasse des Agates","NANTES","Agates","PRIVEE","NANTES Avenue des Opalines","Impasse","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"0048","Rue des Agenets","NANTES","Agenets","PUBLIQUE","NANTES Rue du Casterneau","","TRI'SAC","bacs","pluriel","des numéros 33 à 81 et 36 à 78","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"0048","Rue des Agenets","NANTES","Agenets","PUBLIQUE","NANTES Rue du Casterneau","","bacs bleus et bacs jaunes","bacs","pluriel","les numéros 29-31-32 et à partir des numéros 93 et 80","mardi","mercredi","","Malakoff - Saint-Donatien",""
"0050","Avenue des Agneaux","NANTES","Agneaux","PUBLIQUE","NANTES Place du Baut","NANTES Avenue de Rome","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"0052","Impasse Aguesse","NANTES","Aguesse","PRIVEE","NANTES Rue du Corps de Garde","Impasse","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Dervallières - Zola",""
"0056","Rue d'Aguesseau","NANTES","Aguesseau","PUBLIQUE","NANTES Place Roger Salengro","NANTES Rue Saint Jean","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"7528","Boulevard Saint Aignan","NANTES","Aignan","PUBLIQUE","NANTES Place Général Mellinet","NANTES Boulevard Honoré De Balzac","TRI'SAC","bacs","pluriel","jusqu'aux numéros 65 et 62","mardi et vendredi","","","pluriel","jusqu'aux numeros 65 et 62 : Bellevue - Chantenay - Sainte Anne ; à partir des numeros 75 et 82 : Dervallières - Zola"
"7528","Boulevard Saint Aignan","NANTES","Aignan","PUBLIQUE","NANTES Place Général Mellinet","NANTES Boulevard Honoré De Balzac","TRI'SAC","bacs","pluriel","à partir des numéros 75 et 82","lundi et jeudi","","","pluriel","jusqu'aux numeros 65 et 62 : Bellevue - Chantenay - Sainte Anne ; à partir des numeros 75 et 82 : Dervallières - Zola"
"7527","Passage Saint Aignan","NANTES","Aignan","PUBLIQUE","NANTES Rue des Aveneaux","NANTES Rue Amiral Du Chaffault","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Dervallières - Zola",""
"0058","Avenue de l'Aigrette","NANTES","Aigrette","PRIVEE","NANTES Rue Camille Desmoulins","NANTES Avenue du Triton","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"5411","Quai du Marquis d'Aiguillon","NANTES","Aiguillon","PUBLIQUE","NANTES Rue des Salorges","NANTES Rue Marcel Sembat","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"0066","Avenue des Ajoncs","NANTES","Ajoncs","PRIVEE","NANTES Impasse de la Quenouille","","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Nantes Erdre",""
"2748","Rue d'El Alamein","NANTES","Alamein","PUBLIQUE","NANTES Route de Saint Joseph","NANTES Rue de Koufra","TRI'SAC","bacs","unique","","mardi et vendredi","","","Nantes Erdre",""
"0070","Avenue de l'Albatros","NANTES","Albatros","PRIVEE","NANTES Rue de la Grange au Loup","NANTES Avenue de l'Astérie","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"7428","Rue du Roi Albert","NANTES","Albert","PUBLIQUE","NANTES Place Saint Pierre","NANTES Place Roger Salengro","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"3291","Rue François Albert","NANTES","Albert","PUBLIQUE","NANTES Boulevard Gaston Doumergue","NANTES Boulevard Vincent Gâche","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"2365","Avenue d'Albion","NANTES","Albion","PRIVEE","NANTES Boulevard Jean Moulin","","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0089","Rue des Albizzias","NANTES","Albizzias","PUBLIQUE","NANTES Rue du Perray","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Doulon - Bottière",""
"0073","Avenue de l'Alcyon","NANTES","Alcyon","PRIVEE","NANTES Avenue de l'Etoile de Mer","NANTES Avenue des Amandiers","TRI'SAC","bacs","unique","","mardi et vendredi","","","Doulon - Bottière",""
"0144","Rue d'Alger","NANTES","Alger","PUBLIQUE","NANTES Rue Flandres Dunkerque 40","NANTES Place du Sanitat","TRI'SAC","bacs","unique","","mardi et vendredi","","","Centre Ville",""
"0146","Avenue des Algues","NANTES","Algues","PRIVEE","NANTES Avenue de l'Albatros","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"0148","Ruelle Aliez","NANTES","Aliez","PRIVEE","NANTES Chemin Biret","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Dervallières - Zola",""
"0153","Rue des Alisiers","NANTES","Alisiers","PUBLIQUE","NANTES Rue de la Grange au Loup","NANTES Allée de l'Embellie","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"0151","Allée des Alizés","NANTES","Alizés","PRIVEE","NANTES Rue Jean Baptiste Georget","NANTES Avenue du Suroit","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"3357","Rue Frère Allaire","NANTES","Allaire","PUBLIQUE","NANTES Rue Frère Louis","","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Nantes Sud",""
"0187","Avenue Alphonse Allais","NANTES","Allais","PRIVEE","NANTES Rue du Haut Moreau","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"0147","Boulevard Allard","NANTES","Allard","PUBLIQUE","NANTES Place Général Mellinet","NANTES Boulevard Pasteur","TRI'SAC","bacs","unique","","mardi et vendredi","","","Dervallières - Zola",""
"0150","Rue d'Allemagne","NANTES","Allemagne","PUBLIQUE","NANTES Rue du Bois Briand","NANTES Rue du Marché Commun","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Doulon - Bottière",""
"7803","Boulevard Salvador Allende","NANTES","Allende","PUBLIQUE","NANTES Place de Jacksonville","NANTES Boulevard Saint Aignan","TRI'SAC","bacs","unique","","lundi et jeudi","","","pluriel","numeros impairs : Bellevue - Chantenay - Sainte Anne ; numeros pairs : Dervallières - Zola"
"0160","Rue de l'Allier","NANTES","Allier","PUBLIQUE","NANTES Rue de l'Indre","NANTES Quai de Malakoff","TRI'SAC","bacs","unique","","mardi et vendredi","","","Malakoff - Saint-Donatien",""
"0168","Rue d'Allonville","NANTES","Allonville","PUBLIQUE","NANTES Place du 11ème Train des Equipage","NANTES Rue Frédéric Cailliaud","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"0173","Rue de l'Allouée","NANTES","Allouée","PUBLIQUE","NANTES Boulevard des Anglais","NANTES Boulevard Jean XXIII","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Breil - Barberie",""
"0176","Avenue des Alouettes","NANTES","Alouettes","PRIVEE","NANTES Rue des Alouettes","","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0184","Rue des Alouettes","NANTES","Alouettes","PUBLIQUE","NANTES Rue du Bois Hardy","NANTES Rue Firmin Colas","TRI'SAC","bacs","pluriel","les numéros 42 et 44","mardi et vendredi","","","Bellevue - Chantenay - Sainte Anne",""
"0184","Rue des Alouettes","NANTES","Alouettes","PUBLIQUE","NANTES Rue du Bois Hardy","NANTES Rue Firmin Colas","bacs bleus et bacs jaunes","bacs","pluriel","tous les numéros sauf 42 et 44","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0186","Avenue des Alpagas","NANTES","Alpagas","PRIVEE","NANTES Avenue des Antilopes","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"0198","Rue d'Alsace","NANTES","Alsace","PUBLIQUE","NANTES Rue des Boers","NANTES Rue des Bateaux Lavoirs","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"0205","Avenue de l'Alverne","NANTES","Alverne","PRIVEE","NANTES Rue de la Bourgeonnière","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"0930","Impasse du Bois de l'Amande","NANTES","Amande","Inconnu","NANTES Rue des Roches","Impasse","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"0222","Avenue des Amandiers","NANTES","Amandiers","PUBLIQUE","NANTES Avenue des Epicéas","NANTES Avenue de l'Alcyon","TRI'SAC","bacs","unique","","mardi et vendredi","","","Doulon - Bottière",""
"0213","Avenue des Amandines","NANTES","Amandines","PRIVEE","NANTES Rue du Croissant","NANTES Rue Alfred Nobel","TRI'SAC","bacs","unique","","mardi et vendredi","","","Doulon - Bottière",""
"0221","Avenue des Amaryllis","NANTES","Amaryllis","PRIVEE","NANTES Rue de Koufra","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Nantes Erdre",""
"0223","Rue de l'Amazonie","NANTES","Amazonie","PRIVEE","NANTES Rue des Gobelets","","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Nantes Sud",""
"0220","Rue Ameline","NANTES","Ameline","PUBLIQUE","NANTES Rue Cochard Polenne","NANTES Rue Leglas Maurice","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"0224","Boulevard des Américains","NANTES","Américains","PUBLIQUE","NANTES Boulevard Robert Schuman","NANTES Place Alexandre Vincent","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Breil - Barberie",""
"0226","Chemin des Américains","NANTES","Américains","PUBLIQUE","NANTES Rue Saint Médard","NANTES Rue de la Croix Rouge","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"0225","Pont des Américains","NANTES","Américains","PUBLIQUE","NANTES Chemin des Américains","NANTES Chemin de la Bonnetière","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"0219","Avenue des Améthystes","NANTES","Améthystes","PRIVEE","NANTES Avenue Sagamore","","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Doulon - Bottière",""
"3368","Rue des Frères Amieux","NANTES","Amieux","PUBLIQUE","NANTES Rue des Alouettes","NANTES Route de Pompierre","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0244","Rue Ampère","NANTES","Ampère","PUBLIQUE","NANTES Place Saint Clair","NANTES Boulevard de l'Egalité","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Dervallières - Zola",""
"0246","Avenue de l'Amphibolite","NANTES","Amphibolite","PRIVEE","NANTES Rue des Bourdonnières","","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Nantes Sud",""
"0268","Rue d'Ancin","NANTES","Ancin","PUBLIQUE","NANTES Quai de la Fosse","NANTES Rue de l'Héronnière","TRI'SAC","bacs","pluriel","","lundi - mercredi - vendredi","","","Centre Ville",""
"0265","Rue des Ancolies","NANTES","Ancolies","PUBLIQUE","NANTES Route de Sainte Luce","NANTES Rue du Perray","TRI'SAC","bacs","unique","","mardi et vendredi","","","Doulon - Bottière",""
"7536","Cours Saint André","NANTES","André","PUBLIQUE","NANTES Place Maréchal Foch","NANTES Quai Ceineray","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"5626","Avenue Michel Ange","NANTES","Ange","PRIVEE","NANTES Rue Jean Julien Lemordant","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"0286","Rue de l'Angélique des Estuaires","NANTES","Angélique","PUBLIQUE","NANTES Rue la Nouë Bras de Fer","NANTES Quai François Mitterrand","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"0288","Boulevard des Anglais","NANTES","Anglais","PUBLIQUE","","","TRI'SAC","bacs","pluriel","jusqu'aux numeros 51 et 28","lundi et jeudi","","","pluriel","numéros pairs jusqu'au n°158 = Breil - Barberie, numéros impairs = Hauts Pavés - St Félix, numéros 162 à 168 = Dervallières- Zola"
"0288","Boulevard des Anglais","NANTES","Anglais","PUBLIQUE","","","bacs bleus et bacs jaunes","bacs","pluriel","des numeros 53 à 79 et 30 à 64","mardi","mercredi","","pluriel","numéros pairs jusqu'au n°158 = Breil - Barberie, numéros impairs = Hauts Pavés - St Félix, numéros 162 à 168 = Dervallières- Zola"
"0288","Boulevard des Anglais","NANTES","Anglais","PUBLIQUE","","","TRI'SAC","bacs","pluriel","à partir des numeros 81 et 64B","lundi et jeudi","","","pluriel","numéros pairs jusqu'au n°158 = Breil - Barberie, numéros impairs = Hauts Pavés - St Félix, numéros 162 à 168 = Dervallières- Zola"
"0293","Chemin de l'Angle Chaillou","NANTES","Angle","PRIVEE","NANTES Route de la Chapelle Sur Erdre","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"0294","Rue d'Angleterre","NANTES","Angleterre","PUBLIQUE","NANTES Rue d'Irlande","NANTES Boulevard de l'Europe","TRI'SAC","colonnes","unique","","","","","Malakoff - Saint-Donatien",""
"0296","Rue d'Angoumois","NANTES","Angoumois","PUBLIQUE","NANTES Rue du Limousin","NANTES Rue du Poitou","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"0300","Rue Anizon","NANTES","Anizon","PUBLIQUE","NANTES Place Paul Emile Ladmirault","NANTES Place de la Monnaie","TRI'SAC","bacs","unique","","mardi et vendredi","","","Centre Ville",""
"0304","Rue d'Anjou","NANTES","Anjou","PUBLIQUE","NANTES Rue Noire","NANTES Rue du Maine","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"7572","Avenue Sainte Anne","NANTES","Anne","PUBLIQUE","NANTES Place des Garennes","NANTES Rue Saint Gohard","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"2596","Place de la Duchesse Anne","NANTES","Anne","PUBLIQUE","NANTES Rue Prémion","NANTES Rue Henri IV","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"0314","Avenue Antarès","NANTES","Antarès","PRIVEE","NANTES Route de Sainte Luce","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"0318","Boulevard des Antilles","NANTES","Antilles","MIXTE","NANTES Quai Président Wilson","NANTES Boulevard de la Prairie au Duc","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"0341","Quai des Antilles","NANTES","Antilles","MIXTE","NANTES Boulevard de la Prairie au Duc","NANTES Boulevard des Antilles","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"0317","Avenue des Antilopes","NANTES","Antilopes","PRIVEE","NANTES Boulevard Auguste Péneau","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"7540","Rue Saint Antoine","NANTES","Antoine","PUBLIQUE","NANTES Rue de la Carterie","NANTES Rue de Châteaulin","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"5085","Rue Louise Antonini","NANTES","Antonini","PUBLIQUE","NANTES Rue Danton","NANTES Rue Danton","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Dervallières - Zola",""
"3956","Rue Guillaume Apollinaire","NANTES","Apollinaire","PRIVEE","NANTES Rue de Pessac","ST-HERBLAIN Boulevard Winston Churchill","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"0340","Rue Nicolas Appert","NANTES","Appert","PUBLIQUE","NANTES Rue de la Ville en Bois","NANTES Place Emile Zola","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Dervallières - Zola",""
"0342","Avenue des Aquarelles","NANTES","Aquarelles","PRIVEE","NANTES Route de Saint Joseph","NANTES Avenue du Val d'Erdre","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Nantes Erdre",""
"0345","Impasse Arago","NANTES","Arago","PRIVEE","NANTES Rue Arago","Impasse","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"0344","Rue Arago","NANTES","Arago","PUBLIQUE","NANTES Rue Amiral Du Chaffault","NANTES Boulevard de la Liberté","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"4500","Rue Jeanne d'Arc","NANTES","Arc","PUBLIQUE","NANTES Rue Paul Bellamy","NANTES Rue Jean Jaurès","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"0347","Avenue de l'Arche","NANTES","Arche","PRIVEE","NANTES Rue Condorcet","NANTES Avenue des Dervallières","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Dervallières - Zola",""
"0349","Impasse Archimède","NANTES","Archimède","PRIVEE","NANTES Chemin du Sas au Vin","Impasse","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"0350","Avenue de l'Archipel","NANTES","Archipel","PRIVEE","NANTES Rue de la Grange au Loup","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"0351","Rue des Architectes","NANTES","Architectes","PUBLIQUE","NANTES Place François II","NANTES Place des Erables","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"0352","Rue Arégnaudeau","NANTES","Arégnaudeau","PUBLIQUE","NANTES Rue de la Barbinais","NANTES Rue Joseph Blanchart","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"0356","Rue d'Argentré","NANTES","Argentré","PUBLIQUE","NANTES Rue Tournefort","NANTES Place Roger Salengro","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"0357","Avenue Ariane","NANTES","Ariane","PRIVEE","NANTES Rue Arago","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"0358","Rue de l'Ariège","NANTES","Ariège","PUBLIQUE","NANTES Rue du Jamet","NANTES Rue Lucien Aubert","TRI'SAC","colonnes","unique","","","","","Bellevue - Chantenay - Sainte Anne",""
"0385","Impasse des Armateurs","NANTES","Armateurs","PRIVEE","NANTES Rue Clémence Royer","Impasse","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Dervallières - Zola",""
"0387","Avenue des Armoises","NANTES","Armoises","Inconnu","NANTES Avenue du Clos du Cens","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"0388","Avenue d'Armor","NANTES","Armor","PRIVEE","NANTES Avenue Castellano","NANTES Rue François Mauriac","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"0389","Avenue de l'Armorial","NANTES","Armorial","PRIVEE","NANTES Route de Carquefou","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Nantes Erdre",""
"3101","Impasse Ferdinand Arnodin","NANTES","Arnodin","PUBLIQUE","NANTES Rue Bayard","Impasse","TRI'SAC","bacs","unique","","mardi et vendredi","","","Dervallières - Zola",""
"5061","Place Louis Arretche","NANTES","Arretche","PRIVEE","","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"4557","Promenade José Arribas","NANTES","Arribas","PUBLIQUE","NANTES Rue André Tardieu","NANTES Pont Willy Brandt","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"0396","Rue d'Arsonval","NANTES","Arsonval","PUBLIQUE","NANTES Boulevard Clovis Constant","NANTES Boulevard des Anglais","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Hauts Pavés - Saint Félix",""
"0398","Avenue Artémis","NANTES","Artémis","PRIVEE","ST-SEBASTIEN Rue de la Fonderie","","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Nantes Sud",""
"0408","Rue Arthur III","NANTES","Arthur","PUBLIQUE","NANTES Quai François Mitterrand","NANTES Boulevard de la Prairie au Duc","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"0412","Rue des Artisans","NANTES","Artisans","PUBLIQUE","NANTES Rue des Maraîchers","NANTES Rue Moriceau Thébault","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Doulon - Bottière",""
"2245","Cours des Arts","NANTES","Arts","PRIVEE","NANTES Rue des Olivettes","NANTES Impasse Juton","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"0414","Rue d'Ascain","NANTES","Ascain","PUBLIQUE","ST-SEBASTIEN Rue du Clos Toreau","","TRI'SAC","colonnes","pluriel","le numéro 2 seulement","","","","Nantes Sud",""
"0414","Rue d'Ascain","NANTES","Ascain","PUBLIQUE","ST-SEBASTIEN Rue du Clos Toreau","","bacs bleus et bacs jaunes","bacs","pluriel","tous les numéros sauf le numéro 2","jeudi","mercredi","","Nantes Sud",""
"0416","Impasse de l'Ascension","NANTES","Ascension","PRIVEE","NANTES Rue de Coulmiers","Impasse","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"0420","Avenue d'Assas","NANTES","Assas","PRIVEE","NANTES Rue Jean Danais","","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Dervallières - Zola",""
"0422","Avenue d'Assise","NANTES","Assise","PUBLIQUE","NANTES Rue de la Bourgeonnière","NANTES Place du Baut","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"0423","Avenue de l'Astérie","NANTES","Astérie","PRIVEE","NANTES Avenue de l'Albatros","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"7425","Rue Roger Astic","NANTES","Astic","PUBLIQUE","NANTES Rue Jules Grandjouan","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Doulon - Bottière",""
"7184","Rue Reine Astrid","NANTES","Astrid","PUBLIQUE","NANTES Rue de la Patouillerie","ORVAULT Rue des Mimosas","TRI'SAC","bacs","unique","","lundi et jeudi","","","Breil - Barberie",""
"0424","Rue Athénas","NANTES","Athénas","PUBLIQUE","NANTES Rue Voltaire","NANTES Place de la Monnaie","TRI'SAC","bacs","unique","","mardi et vendredi","","","Centre Ville",""
"0425","Rue d'Athènes","NANTES","Athènes","PUBLIQUE","NANTES Rue de la Garde","NANTES Rue de la Garde","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Doulon - Bottière",""
"3266","Avenue Francis Athimon","NANTES","Athimon","PRIVEE","NANTES Avenue Jean Cocteau","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Doulon - Bottière",""
"0075","Place Albert Athimon","NANTES","Athimon","Inconnu","NANTES Rue du Vieil Hôpital","","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"0431","Allée de l'Aube","NANTES","Aube","PUBLIQUE","NANTES Jardin des 4 Jeudis","NANTES Allée de l'Embellie","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"0427","Impasse des Aubépines","NANTES","Aubépines","PRIVEE","NANTES Rue des Grenouilles","Impasse","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"5157","Rue Lucien Aubert","NANTES","Aubert","PUBLIQUE","NANTES Rue Romain Rolland","NANTES Rue Jean Olivesi","TRI'SAC","colonnes","unique","","","","","Bellevue - Chantenay - Sainte Anne",""
"0051","Avenue Agrippa d'Aubigné","NANTES","Aubigné","PRIVEE","NANTES Avenue José Maria de Hérédia","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"0429","Avenue de l'Aubinière","NANTES","Aubinière","PRIVEE","","","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Doulon - Bottière",""
"0430","Rue d'Audierne","NANTES","Audierne","PUBLIQUE","NANTES Boulevard René Cassin","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
