"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","MODE_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"0372","Rue Armand Brossard","NANTES","Brossard","PUBLIQUE","NANTES Place de l'Ecluse","NANTES Rue Siméon Foucault","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"3972","Rue Guillet de la Brosse","NANTES","Brosse","PUBLIQUE","NANTES Place des Enfants Nantais","NANTES Rue du Coudray","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"1264","Rue de Brosses","NANTES","Brosses","PUBLIQUE","NANTES Rue Linné","NANTES Boulevard de Launay","TRI'SAC","bacs","unique","","mardi et vendredi","","","Dervallières - Zola",""
"1267","Rue du Brouillard","NANTES","Brouillard","Inconnu","NANTES Rue de la Fontaine Caron","NANTES Rue de la Fontaine Caron","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"3295","Avenue François Broussais","NANTES","Broussais","MIXTE","NANTES Rue Corentin Bourveau","NANTES Rue Corentin Bourveau","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"4212","Rue Honoré Broutelle","NANTES","Broutelle","PUBLIQUE","NANTES Boulevard Ernest Dalby","NANTES Rue de la Ville en Pierre","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"6591","Allée Pierre Bruegel","NANTES","Bruegel","PRIVEE","NANTES Rue Jean Jacques Audubon","","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Doulon - Bottière",""
"1278","Allée Brulebois","NANTES","Brulebois","PUBLIQUE","NANTES Rue des Alisiers","NANTES Rue de la Grange au Loup","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"1280","Rue du Brûlis","NANTES","Brûlis","PUBLIQUE","NANTES Rue des Forges","NANTES Chemin du Ponceau","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"4417","Esplanade Jean Bruneau","NANTES","Bruneau","PUBLIQUE","NANTES Rue de l'Hermitage","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"3296","Rue François Bruneau","NANTES","Bruneau","PUBLIQUE","NANTES Boulevard Amiral Courbet","NANTES Rue Paul Bellamy","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"1688","Rue Charles Brunellière","NANTES","Brunellière","PUBLIQUE","NANTES Place Commandant Jean l'Herminier","NANTES Place René Bouhier","TRI'SAC","bacs","unique","","lundi et jeudi","","","pluriel","numeros impairs : Dervallières - Zola ; numeros pairs : Centre-Ville"
"4118","Rue Henri Brunellière","NANTES","Brunellière","PUBLIQUE","NANTES Rue Honoré Broutelle","NANTES Rue du Casterneau","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"1300","Rue de Bruxelles","NANTES","Bruxelles","PUBLIQUE","NANTES Rue d'Allemagne","NANTES Rue du Marché Commun","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Doulon - Bottière",""
"4440","Rue Jean De La Bruyère","NANTES","Bruyère","PUBLIQUE","NANTES Rue Vincent Scotto","NANTES Rue Blaise Pascal","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"1288","Rue des Bruyères","NANTES","Bruyères","PUBLIQUE","NANTES Rue Stendhal","NANTES Rue Jacques Cartier","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"1378","Rue Camille Bryen","NANTES","Bryen","Inconnu","NANTES Place de la Basse Mar","NANTES Quai Dumont d'Urville","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"3556","Rue Général Buat","NANTES","Buat","PUBLIQUE","NANTES Rond-Point de Paris","NANTES Avenue Chanzy","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"1292","Rue de Budapest","NANTES","Budapest","PUBLIQUE","NANTES Place des Volontaires de la Défen","NANTES Rue Mercoeur","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"4902","Rue Léon Buerne","NANTES","Buerne","PUBLIQUE","NANTES Rue Anatole de Monzie","NANTES Rue Georges Leygues","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"1296","Rue Buffon","NANTES","Buffon","PUBLIQUE","NANTES Rue Franklin","NANTES Rue Copernic","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"3104","Rue Ferdinand Buisson","NANTES","Buisson","PUBLIQUE","NANTES Place Charles Lechat","NANTES Rue Amiral Du Chaffault","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"4904","Boulevard Léon Bureau","NANTES","Bureau","PUBLIQUE","NANTES Rue Julien Videment","NANTES Boulevard de la Prairie au Duc","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"1302","Chemin du Buron","NANTES","Buron","PRIVEE","NANTES Route de la Jonelière","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"1316","Chemin du Buzard","NANTES","Buzard","PRIVEE","NANTES Rue Réaumur","","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"6560","Rue Philippe de Cabrol","NANTES","Cabrol","PUBLIQUE","NANTES Rue Gutenberg","NANTES Boulevard de la Liberté","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"1324","Rue Cacault","NANTES","Cacault","PUBLIQUE","NANTES Rue de Feltre","NANTES Rue des 2 Ponts","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1328","Rue des Cadeniers","NANTES","Cadeniers","PUBLIQUE","NANTES Rue de l'Héronnière","NANTES Rue Voltaire","TRI'SAC","bacs","unique","","mardi et vendredi","","","Centre Ville",""
