"ID_COLONNE","TYPE_DECHETS","VOLUME","OBS","PREHENSION","VOIE","MOT_DIRECTEUR","CODE_COM","CODE_POSTAL","COMMUNE","QUARTIER","POLE_NM","location"
"794","verre","4.0",""," ","Rue des Entrepreneurs","Entrepreneurs","440215","44120","Vertou","Clouzeaux - Planty","Loire, Sèvre et Vignoble","[ 47.182508488747 , -1.47898721135531]"
"795","Emb. ménager","4.0","Déchèterie Vertou"," ","Allée des Cadets","Cadets","440215","44120","Vertou","La Grammoire - La Ville au Blanc","Loire, Sèvre et Vignoble","[ 47.1786381107463 , -1.46062237357538]"
"796","verre","4.0","OK"," ","Rue du Plessis","Plessis","440024","44830","Brains","","Sud-Ouest","[ 47.1686147797701 , -1.72007506845754]"
"797","verre","4.0","OK"," ","Rue des Prés","Prés","440024","44830","Brains","","Sud-Ouest","[ 47.1693900882744 , -1.72296671153055]"
"798","verre","4.0","OK"," ","Rue de l'Acheneau","Acheneau","440024","44830","Brains","","Sud-Ouest","[ 47.1591096936376 , -1.72374290529165]"
"799","verre","4.0","OK"," ","VC 6","6","440024","44830","Brains","","Sud-Ouest","[ 47.1792017241751 , -1.74616939403254]"
"800","verre","4.0","OK"," ","Rue du Bois Joli","Bois","440024","44830","Brains","","Sud-Ouest","[ 47.1717012215196 , -1.72620196622787]"
"801","verre","4.0","déplacée en oct 2014 suite à plainte riverain"," ","Rue de la Chaussérie","Chaussérie","440171","44710","St-Léger-les-Vignes","","Sud-Ouest","[ 47.1505070318792 , -1.7029680356428]"
"802","verre","4.0","parking cimetière"," ","Allée du Cimetière","Cimetière","440171","44710","St-Léger-les-Vignes","","Sud-Ouest","[ 47.1367099327701 , -1.73069490491735]"
"803","verre","4.0","OK"," ","Rue des Anciens Chais","Chais","440171","44710","St-Léger-les-Vignes","","Sud-Ouest","[ 47.1369551678863 , -1.72176011928786]"
"804","verre","4.0","OK"," ","Rue de Corbon","Corbon","440171","44710","St-Léger-les-Vignes","","Sud-Ouest","[ 47.1417700811917 , -1.70479133555041]"
"805","verre","4.0",""," ","Rue Ampère","Ampère","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2587953137051 , -1.55097144975458]"
"806","verre","0.0",""," ","RUE DE LA FONDERIE","","440190","44230","St-Sébastien-sur-Loire","","Loire, Sèvre et Vignoble","[ 47.2020472820135 , -1.52844658987771]"
"807","Emb. ménager","4.0",""," ","Rue Ampère","Ampère","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2587674703038 , -1.55097094125298]"
"808","Emb. ménager","4.0",""," ","Rue Ampère","Ampère","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2587819321569 , -1.55097047692312]"
"809","Emb. ménager","4.0",""," ","Rue Ampère","Ampère","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2587549652406 , -1.55097457923613]"
"810","Emb. ménager","4.0",""," ","Rue René Panhard","Panhard","440114","44700","Orvault","Cholière/Bigeottière/Salentine","Erdre et Cens","[ 47.2569752086398 , -1.63337573367668]"
"811","Emb. ménager","4.0",""," ","Rue René Panhard","Panhard","440114","44700","Orvault","Cholière/Bigeottière/Salentine","Erdre et Cens","[ 47.2569643026882 , -1.63336279830795]"
"812","verre","0.0",""," ","Rue Raymond Guinel","Guinel","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2984584722918 , -1.548693837833]"
"813","verre","0.0",""," ","Rue Martin Luther King","King","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2966850008249 , -1.55242355216721]"
"814","verre","0.0",""," ","Avenue de Beauregard","Beauregard","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2962664691667 , -1.55605455411612]"
"815","verre","0.0",""," ","Rue de Sucé","Sucé","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3022808143753 , -1.54825426522498]"
"816","verre","0.0",""," ","Rue Lanoue Bras de Fer","Lanoue","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3013340997231 , -1.55721253026818]"
"817","verre","0.0",""," ","Rue Louis Maisonneuve","Maisonneuve","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2994817412481 , -1.55847154350244]"
