"_ID","LIEU_DISTRIBUTION","TYPE_LIEU","NUMERO","ADRESSE","QUARTIER","QUARTIER_CIBLE","TYPE_DISTRIBUTION","RDV1","HDEBUT1","HFIN1","RDV2","HDEBUT2","HFIN2","RDV3","HDEBUT3","HFIN3","RDV4","HDEBUT4","HFIN4","OBSERVATIONS","CODE_POSTAL","COMMUNE","location"
"117","Rue Pitre Chevalier/Allée Reine Margot","","","Rue Pitre Chevalier","Malakoff - Saint-Donatien","Saint-Donatien","RDV","05/02/2014","14:30","19:00","21/05/2014","14:30","19:00","15/10/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2237506960654 , -1.55069595102173]"
"119","Place des enfants nantais","","","Place des Enfants Nantais","Malakoff - Saint-Donatien","Saint-Donatien","RDV","08/02/2014","09:00","13:00","24/05/2014","09:00","13:00","18/10/2014","09:00","13:00","","","","","44000","Nantes","[ 47.2287750306491 , -1.54288080522534]"
"109","Pirmil - Gare routière","","","Rue Esnoult des Châtelets","Nantes Sud","Malakoff/Nantes Sud","RDV","08/01/2014","14:30","19:00","09/04/2014","14:30","19:00","17/09/2014","14:30","19:00","","","","","44200","Nantes","[ 47.1965881376402 , -1.54172925456256]"
"118","Boulevard Ernest Dalby -  parking Super U","","66","Boulevard Ernest Dalby","Malakoff - Saint-Donatien","Saint-Donatien","RDV","06/02/2014","14:30","19:00","22/05/2014","14:30","19:00","16/10/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2241475694462 , -1.5304882397471]"
"68","Place Saint-Félix","","","Place Saint-Félix","Hauts Pavés - Saint Félix","Hauts pavés/Saint Félix","RDV","29/03/2014","09:00","13:00","06/09/2014","09:00","13:00","13/12/2014","09:00","13:00","","","","","44000","Nantes","[ 47.2310649019152 , -1.55588877771744]"
"8","Face à la mairie annexe Chantenay","","","Place de la Liberté","Bellevue - Chantenay - Sainte Anne","Bellevue - Chantenay","RDV","13/01/2014","14:30","19:00","14/04/2014","14:30","19:00","22/09/2014","14:30","19:00","","","","","44100","Nantes","[ 47.2067589115724 , -1.5878950804801]"
"9","Musée bateau Maille-Brézé","","","Quai de la Fosse","Dervallières - Zola","Bellevue - Chantenay","RDV","18/01/2014","09:00","13:00","19/04/2014","09:00","13:00","27/09/2014","09:00","13:00","","","","","44100","Nantes","[ 47.2070549676964 , -1.57198669874414]"
"80","Place Victor Mangin","","","Place Victor Mangin","Ile de Nantes","Ile de Nantes","RDV","26/02/2014","14:30","19:00","25/06/2014","14:30","19:00","26/11/2014","14:30","19:00","","","","","44200","Nantes","[ 47.2009484198633 , -1.54459336106402]"
"85","Piscine Petite Amazonie, Parvis du péage sauvage","","15","Rue du Pont de l'Arche de Mauves","Malakoff - Saint-Donatien","Malakoff/Nantes Sud","RDV","10/01/2014","14:30","19:00","11/04/2014","14:30","19:00","19/09/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2162745514945 , -1.53235917330598]"
"108","Place du Muguet Nantais","","","Place du Muguet Nantais","Nantes Sud","Malakoff/Nantes Sud","RDV","11/01/2014","09:00","13:00","12/04/2014","09:00","13:00","20/09/2014","09:00","13:00","","","","","44200","Nantes","[ 47.1943572452049 , -1.52879967553758]"
