gml_id,gid,num_col,type,vol_col,proj_exist,rue
mmm_pav_existants.1198,1198,V027,Verre,0,Existant,AVENUE ARISTIDE BRIAND
mmm_pav_existants.1199,1199,V386,Verre,0,Existant,AVENUE JEAN MERMOZ
mmm_pav_existants.1200,1200,P363,Papier,0,Existant,ALLEE JOSEPH CAMBON
mmm_pav_existants.1201,1201,V871,Verre,0,Existant,ALLEE JOSEPH CAMBON
mmm_pav_existants.1202,1202,V484,Verre,0,Existant,rue du mas st-Pierre
mmm_pav_existants.1203,1203,V266,Verre,3,Existant,
mmm_pav_existants.1204,1204,V963,Verre,0,Existant,Rue de la vieille poste
mmm_pav_existants.1205,1205,P104,Papier,0,Existant,Rue de Fontcarrade
mmm_pav_existants.1206,1206,V326,Verre,0,Existant,
mmm_pav_existants.1207,1207,V327,Verre,0,Existant,pas du loup
mmm_pav_existants.1208,1208,V315,Verre,0,Existant,Rue ronsard
mmm_pav_existants.1209,1209,V975,Verre,0,Existant,rue henry moynier
mmm_pav_existants.1210,1210,V970,Verre,3,Existant,Mas des moulins
mmm_pav_existants.1211,1211,P404,Papier,0,Existant,rue Paul Marres
mmm_pav_existants.1212,1212,VRS011,Verre,0,Existant,Dans cité IBM
mmm_pav_existants.1213,1213,VRS012,Verre,0,Existant,Dans cité IBM
mmm_pav_existants.1214,1214,V974,Verre,0,Existant,Rue du four de la Caux
mmm_pav_existants.1215,1215,V981,Verre,0,Existant,Domaine Puech le haut
mmm_pav_existants.1216,1216,V079,Verre,0,Existant,Route de la Taillade
mmm_pav_existants.1217,1217,V587,Verre,0,Existant,ROUTE DE BEAULIEU
mmm_pav_existants.1218,1218,V094,Verre,0,Existant,rue Léon Blum
mmm_pav_existants.1219,1219,V982,Verre,0,Existant,Avenue Charles de Gaulle
mmm_pav_existants.1220,1220,V983,Verre,0,Existant,Rue Louis Aragon
mmm_pav_existants.1221,1221,V819,Verre,0,Existant,Rue Dante Alighieri
mmm_pav_existants.1222,1222,P312,Papier,0,Existant,Rue Dante Alighieri
mmm_pav_existants.1223,1223,V593,Verre,0,Existant,"Intermarché, route de Montpellier"
mmm_pav_existants.1224,1224,T,Textile,0,Existant,RUE DES GENETS
mmm_pav_existants.1225,1225,V043,Verre,,Existant,place Ernest Granier
mmm_pav_existants.1226,1226,V133,Verre,,Existant,AVENUE SAINT MAURICE DE SAURET
mmm_pav_existants.1227,1227,V134,Verre,,Existant,Rue xavier de Ricard
mmm_pav_existants.1228,1228,V024,Verre,,Existant,Rue Fra Angelico
mmm_pav_existants.1229,1229,V162,Verre,0,Existant,AVENUE DE L'ANCIENNE GARE
mmm_pav_existants.1230,1230,V203,Verre,0,Existant,AVENUE RAIMBAUD D'ORANGE
mmm_pav_existants.1231,1231,V213,Verre,0,Existant,RUE PIERRE CAUSSE
mmm_pav_existants.1232,1232,V052,Verre,0,Existant,RUE DU ROMARIN
mmm_pav_existants.1233,1233,V597,Verre,0,Existant,LOT. LOU MIRADOU
mmm_pav_existants.1234,1234,V629,Verre,0,Existant,ROUTE DE BEZIERS
mmm_pav_existants.1235,1235,V158,Verre,0,Existant,AVENUE DE MONTPELLIERET
mmm_pav_existants.1236,1236,P003,Papier,0,Existant,AVENUE DU STADE
mmm_pav_existants.1237,1237,V843,Verre,0,Existant,AVENUE DE LA LIBERTE
mmm_pav_existants.1238,1238,V865,Verre,0,Existant,AVENUE DE FREJORGUES
mmm_pav_existants.1239,1239,T,Textile,0,Existant,RUE PIERRE DE SAINT ROCH
mmm_pav_existants.1240,1240,T,Textile,0,Existant,AVENUE DES BALEARES
mmm_pav_existants.1241,1241,P157,Papier,3,Existant,Rue de la Chenaie
mmm_pav_existants.1242,1242,T,Textile,0,Existant,CHEMIN DES PIERRES
mmm_pav_existants.1243,1243,V829,Verre,0,Existant,RUE DES PITTOSPORES
mmm_pav_existants.1244,1244,V831,Verre,0,Existant,RUE DU PUIT
mmm_pav_existants.1245,1245,T,Textile,0,Existant,
mmm_pav_existants.1246,1246,P322,Papier,0,Existant,PARKING DES ECOLES
mmm_pav_existants.1247,1247,P337,Papier,0,Existant,CHEMIN DE LA BORNIERE
mmm_pav_existants.1248,1248,V847,Verre,0,Existant,DECHETERIE
mmm_pav_existants.1249,1249,V549,Verre,0,Existant,DECHETERIE
mmm_pav_existants.1250,1250,V552,Verre,0,Existant,PLACE DE LA POSTE
mmm_pav_existants.1251,1251,V568,Verre,0,Existant,LES FONTAINES DU PIGNAREL
mmm_pav_existants.1252,1252,V592,Verre,0,Existant,CHEMIN DES COLLEGIENS
mmm_pav_existants.1253,1253,V566,Verre,0,Existant,AVENUE SAINTE-CECILE
mmm_pav_existants.1254,1254,V576,Verre,0,Existant,AVENUE SAINTE-CECILE
mmm_pav_existants.1255,1255,V572,Verre,0,Existant,RUE GUSTAVE EIFFEL
mmm_pav_existants.1256,1256,V573,Verre,0,Existant,AVENUE DU GENERAL GROLLIER
mmm_pav_existants.1257,1257,T,Textile,0,Existant,RUE DES ARAMONS
mmm_pav_existants.1258,1258,V369,Verre,3,Existant,Boulevard des Moures
mmm_pav_existants.1259,1259,V404,Verre,3,Existant,Avenue de Bigos
mmm_pav_existants.1260,1260,VRS021,Verre,3,Existant,Cité universitaire Boutonnet
mmm_pav_existants.1261,1261,V838,Verre,0,Existant,DECHETERIE
mmm_pav_existants.1262,1262,V578,Verre,0,Existant,RUE DU MAS D'AUSSEL
mmm_pav_existants.1263,1263,V579,Verre,0,Existant,AVENUE DES PLATANES
mmm_pav_existants.1264,1264,P181,Papier,0,Existant,AVENUE DU BERANGE
mmm_pav_existants.1265,1265,V594,Verre,0,Existant,CHEMIN DES AZEROLLES
mmm_pav_existants.1266,1266,V755,Verre,0,Existant,ROUTE DE VAUGUIERE
mmm_pav_existants.1267,1267,P035,Papier,0,Existant,PLACE HENRI AUGE
mmm_pav_existants.1268,1268,V340,Verre,0,Existant,CHEMIN PIOCH VILLA
mmm_pav_existants.1269,1269,P174,Papier,0,Existant,CHEMIN DU PRE
mmm_pav_existants.1270,1270,P209,Papier,0,Existant,RUE D'OCCITANIE
mmm_pav_existants.1271,1271,P373,Papier,0,Existant,DECHETERIE
mmm_pav_existants.1272,1272,V890,Verre,0,Existant,CHEMIN DE LA BORNIERE
mmm_pav_existants.1273,1273,P218,Papier,0,Existant,AVENUE DU PERRET
mmm_pav_existants.1274,1274,P217,Papier,0,Existant,ROUTE DE BEAULIEU
mmm_pav_existants.1275,1275,V889,Verre,0,Existant,AVENUE DU GENERAL DE GAULLE
mmm_pav_existants.1276,1276,V893,Verre,0,Existant,AVENUE DU GRAND JEU
mmm_pav_existants.1277,1277,T,Textile,0,Existant,PLACE DE LA COOPERATIVE
mmm_pav_existants.1278,1278,V068,Verre,0,Existant,RUE DU STADE
mmm_pav_existants.1279,1279,V180,Verre,0,Existant,RUE DE LA SERPE
mmm_pav_existants.1280,1280,P193,Papier,0,Existant,BOULEVARD DES MOURES
mmm_pav_existants.1281,1281,V666,Verre,0,Existant,RUE DU MARIGNY
mmm_pav_existants.1282,1282,V002,Verre,0,Existant,D26 ROUTE DE CASTRIES
mmm_pav_existants.1283,1283,T,Textile,0,Existant,AVENUE SAINT VINCENT
mmm_pav_existants.1284,1284,T,Textile,0,Existant,RUE GASTON BAISSETTE
mmm_pav_existants.1285,1285,T,Textile,0,Existant,CHEMIN DE L'AMOUR
mmm_pav_existants.1286,1286,P344,Papier,0,Existant,RUE DES AMANDIERS
mmm_pav_existants.1287,1287,P364,Papier,0,Existant,CHEMIN DE PARRELOUP
mmm_pav_existants.1288,1288,P359,Papier,0,Existant,RUE DE LA FLAMADE
mmm_pav_existants.1289,1289,P371,Papier,0,Existant,RUE DU COLOMBIER
mmm_pav_existants.1290,1290,V001,Verre,0,Existant,AVENUE DE LA BISTE
mmm_pav_existants.1291,1291,V077,Verre,0,Existant,CHEMIN DE POUVIEL
mmm_pav_existants.1292,1292,V082,Verre,0,Existant,CHEMIN DE POUVIEL
mmm_pav_existants.1293,1293,P369,Papier,0,Existant,CHEMIN DE POUVIEL
mmm_pav_existants.1294,1294,V387,Verre,0,Existant,RUE DU MOULIN DE SEMALEN
mmm_pav_existants.1295,1295,P342,Papier,0,Existant,RUE DE LA CADELLE
mmm_pav_existants.1296,1296,V808,Verre,0,Existant,RUE DU PUIS DU MARIN
mmm_pav_existants.1297,1297,P332,Papier,0,Existant,AVENUE DE CASTELNAU
mmm_pav_existants.1298,1298,V800,Verre,0,Existant,AVENUE DE CASTELNAU
mmm_pav_existants.1299,1299,V956,Verre,0,Existant,RUE RAYMOND RECOULY
mmm_pav_existants.1300,1300,V279,Verre,0,Existant,AVENUE DES APOTHICAIRES
mmm_pav_existants.1301,1301,T,Textile,0,Existant,RUE DES CARIGNANS
mmm_pav_existants.1302,1302,V650,Verre,0,Existant,PLACE DE LA REPUBLIQUE
mmm_pav_existants.1303,1303,V131,Verre,0,Existant,AVENUE DU PERRET
mmm_pav_existants.1304,1304,V146,Verre,0,Existant,ALLEE DE TOURNEFORT
mmm_pav_existants.1305,1305,V148,Verre,0,Existant,CHEMIN DE SAINT-HUBERT
mmm_pav_existants.1306,1306,V164,Verre,0,Existant,RUE DE LA CROIX
mmm_pav_existants.1307,1307,V205,Verre,0,Existant,RUE D'UPPSALA
mmm_pav_existants.1308,1308,V215,Verre,0,Existant,RUE ANDRE LE NOTRE
mmm_pav_existants.1309,1309,V057,Verre,3,Existant,ALLEE YVES STOURDZE
mmm_pav_existants.1310,1310,V197,Verre,0,Existant,AVENUE GUILHEM DE POITIER
mmm_pav_existants.1311,1311,V816,Verre,0,Existant,IMPASSE DES AMANDIERS
mmm_pav_existants.1312,1312,V063,Verre,3,Existant,RUE DU ROMARIN
mmm_pav_existants.1313,1313,V454,Verre,0,Existant,RUE DE LA COSTA DORADA
mmm_pav_existants.1314,1314,V622,Verre,0,Existant,ROUTE DE MONTPELLIER
mmm_pav_existants.1315,1315,V634,Verre,0,Existant,CHEMIN DE PARRELOUP
mmm_pav_existants.1316,1316,V640,Verre,0,Existant,RUE DE LA GARDIOLE
mmm_pav_existants.1317,1317,V643,Verre,0,Existant,RUE DES CARIGNANS
mmm_pav_existants.1318,1318,V651,Verre,0,Existant,RUE DE LA CAVE COOPERATIVE
mmm_pav_existants.1319,1319,P200,Papier,0,Existant,RUE DES PEUPLIERS
mmm_pav_existants.1320,1320,V656,Verre,0,Existant,CHEMIN DES 4 CANTONS
mmm_pav_existants.1321,1321,V668,Verre,0,Existant,RUE DES PEUPLIERS
mmm_pav_existants.1322,1322,V432,Verre,3,Existant,Rue d'Argencourt
mmm_pav_existants.1323,1323,V067,Verre,0,Existant,BOTANIC
mmm_pav_existants.1324,1324,V929,Verre,0,Existant,PLACE CARNOT
mmm_pav_existants.1325,1325,VRS001,Verre,0,Existant,AVENUE MARCEL PAGNOL
mmm_pav_existants.1326,1326,V922,Verre,0,Existant,rue de la réglisse
mmm_pav_existants.1327,1327,V193,Verre,0,Existant,RUE SAINTE BARBE
mmm_pav_existants.1328,1328,P350,Papier,0,Existant,
mmm_pav_existants.1329,1329,V116,Verre,0,Existant,RUE DE LA VALCIERE
mmm_pav_existants.1330,1330,T,Textile,0,Existant,AVENUE DU BERANGE
mmm_pav_existants.1331,1331,T,Textile,0,Existant,Route de la gare
mmm_pav_existants.1332,1332,T,Textile,0,Existant,rue du controle
mmm_pav_existants.1333,1333,T,Textile,0,Existant,Avenue du 8 Mai 1945
mmm_pav_existants.1334,1334,T,Textile,0,Existant,Rue des Coustelies
mmm_pav_existants.1335,1335,T,Textile,0,Existant,Avenue Jean Jaures
