"nom";"categorie";"equipement";"statut";"lieu";"date";"annee";"lat";"lon";"image";"page"
"Ecole élémentaire des Garennes";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Nantes centre";"";"2011";"47.201870";"-1.577965";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-elementaire-des-garennes/"
"Ecole élémentaire François Dallet";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Doulon - Bottière";"";"2013";"47.2334278";"-1.5334281";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-elementaire-francois-dallet/"
"Ecole maternelle Fonteny";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"";"2012";"47.205135";"-1.5928257";"http://www.compostri.fr/wp-content/uploads/2015/01/Fonteny-150x150.jpg";"http://www.compostri.fr/compost/ecole-maternelle-fonteny/"
"Ecole maternelle Fellonneau";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Hauts-Pavés - Saint-Félix";"";"2010";"47.2314089";"-1.5543489";"http://www.compostri.fr/wp-content/uploads/2015/01/fellonneau-nantes-150x150.jpg";"http://www.compostri.fr/compost/ecole-maternelle-fellonneau/"
"Ecole Diwan";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Dervallières - Zola";"";"2010";"47.219201";"-1.602191";"http://www.compostri.fr/wp-content/uploads/2015/01/diwan-150x125.jpeg";"http://www.compostri.fr/compost/ecole-diwan/"
"Ecole maternelle Dervallières-Chézine";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Dervallières - Zola";"";"2010";"47.2270726";"-1.5976218";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-maternelle-dervallieres-chezine/"
"Ecole élémentaire de la Contrie";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Dervallières - Zola";"";"2012";"47.2150664";"-1.6010558";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-elementaire-de-la-contrie/"
"Ecole Chêne-d&rsquo;Aron";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Nantes centre";"";"2011";"47.2123968";"-1.561360499999978";"http://www.compostri.fr/wp-content/uploads/2015/01/Ecole-Chene-dAron-NANTES-5-150x150.jpg";"http://www.compostri.fr/compost/ecole-chene-daron/"
"Ecole élémentaire de la Chauvinière";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Nantes Nord";"";"2011";"47.252645";"-1.574578400000064";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-elementaire-de-la-chauviniere/"
"Ecole élémentaire des Chataîgniers";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Dervallières - Zola";"";"2011";"47.2204186";"-1.6001197000000502";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-elementaire-des-chataigniers/"
"Ecole de la Bottière";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Doulon - Bottière";"";"2010";"47.237928";"-1.522485999999958";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-de-la-bottiere/"
"Ecole Ange Guépin";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Malakoff - Saint-Donatien";"";"2010";"47.2175466";"-1.5192799999999806";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-ange-guepin/"
"Ecole Alain Fournier";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Nantes centre";"";"2010";"47.2040719";"-1.600138799999968";"http://www.compostri.fr/wp-content/uploads/2015/01/alain-fournier-150x150.jpg";"http://www.compostri.fr/compost/ecole-alain-fournier/"
"Ecole primaire Anatole de Monzie";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Île de Nantes";"";"2013";"47.2026472";"-1.5410670999999638";"http://www.compostri.fr/wp-content/uploads/2015/01/a-de-monzie-150x110.jpg";"http://www.compostri.fr/compost/ecole-anatole-de-monzie-primaire/"
"Jardin des Garettes &#8211; Orvault";"Composteur ouvert au quartier, Composteur sur des jardins collectifs";"Silos 2x2.5m3";"En service";"Orvault";"";"2014";"47.274265";"-1.625867";"http://www.compostri.fr/wp-content/uploads/2015/01/Jardin-Des-garettes-montage-32-150x150.jpg";"http://www.compostri.fr/compost/jardin-des-garettes-orvault/"
"Jardins Verta&rsquo;vie &#8211; Vertou";"Composteur sur des jardins collectifs";"Pavillon 2,5 m3";"En service";"Vertou";"";"2013";"47.179366";"-1.505915";"http://www.compostri.fr/wp-content/uploads/2015/01/DSC_0016-150x150.jpg";"http://www.compostri.fr/compost/jardins-vertavie-vertou/"
"Jardins Famibio";"Composteur sur des jardins collectifs";"Pavillon 2,5 m3";"En service";"Thouaré-sur-Loire";"";"2011";"47.2746184";"-1.4294688999999607";"http://www.compostri.fr/wp-content/uploads/2015/01/DSC_0016-150x150.jpg";"http://www.compostri.fr/compost/jardins-famibio/"
"Jardins familiaux de la Contrie";"Composteur ouvert au quartier, Composteur sur des jardins collectifs";"Pavillon 20 m3";"En service";"Dervallières - Zola";"";"2009";"47.21939322581723";"-1.6016650199890137";"http://www.compostri.fr/wp-content/uploads/2015/01/Jardin-de-la-Contrie-1-150x150.jpg";"http://www.compostri.fr/compost/jardins-familiaux-de-la-contrie/"
"La Crapaudine";"Composteur ouvert au quartier";"Pavillon 20 m3";"En service";"Nantes Sud";"";"2011";"47.192031";"-1.530538";"http://www.compostri.fr/wp-content/uploads/20m3.Crap2_-150x150.jpg";"http://www.compostri.fr/compost/la-crapaudine/"
"Crèche brin de malice";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Nantes Sud";"";"2011";"47.193029";"-1.531305";"http://www.compostri.fr/wp-content/uploads/2015/01/Composteur.1.5m3-150x150.jpeg";"http://www.compostri.fr/compost/creche-brin-de-malice/"
"Moulin des Rives";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Saint-Aignan-de-Grand-Lieu";"";"2014";"47.124134";"-1.630217";"http://www.compostri.fr/wp-content/uploads/2015/01/Moulin-des-Rives-web-150x150.jpg";"http://www.compostri.fr/compost/moulin-des-rives-saint-aignan-de-grandlieu/"


