nom,categorie,equipement,statut,quartier,date,lat,lon,image,page,,,,,
Ecole Charles Lebourg &#8211; Association Orrion Loquidy,Composteur ouvert au quartier,,,,,47.23409350000001,-1.5599150000000463,,http://www.compostri.fr/compost/ecole-charles-lebourg-association-orrion-loquidy/,,,,,
Jardin des Richolets &#8211; MDC Saint Herblain,Composteur ouvert au quartier,,,,,47.2122336,-1.615248500000007,,http://www.compostri.fr/compost/jardin-des-richolets-mdc-saint-herblain/,,,,,
Jardin des Petits Débrouillards,Composteur ouvert au quartier,,,,,47.2250486,-1.590999600000032,,http://www.compostri.fr/compost/jardin-des-petits-debrouillards/,,,,,
Cantine scolaire de Saint Jean de Boiseau,Composteur ouvert au quartier,,,,,47.1944575,-1.7239918000000216,,http://www.compostri.fr/compost/cantine-scolaire-de-saint-jean-de-boiseau/,,,,,
Jardins familiaux d&rsquo;Indre,Composteur ouvert au quartier,,,,,47.218044308214694,-1.5543073033358696,,http://www.compostri.fr/compost/jardins-familiaux-dindre/,,,,,
Jardin des Noëlles &#8211; Les Thébaudières,Composteur ouvert au quartier,,,,,47.2386651,-1.605326200000036,,http://www.compostri.fr/compost/jardin-des-noelles-les-thebaudieres/,,,,,
Venelles Les Forges &#8211; rue Henri Lamour,Composteur ouvert au quartier,,,,,47.1895914,-1.5480522000000292,,http://www.compostri.fr/compost/venelles-les-forges-rue-henri-lamour/,,,,,
Atelier Alisé &#8211; Nantes,Composteur ouvert au quartier,,,,,47.2029721,-1.5483064000000013,,http://www.compostri.fr/compost/atelier-alise-nantes/,,,,,
La Crapaudine,Composteur ouvert au quartier,,,,,47.19174169999999,-1.5294745999999575,,http://www.compostri.fr/compost/la-crapaudine-2/,,,,,
Square Savelli &#8211; La Chapelle sur Erdre,Composteur ouvert au quartier,,,,,47.2958809,-1.5501815999999735,,http://www.compostri.fr/compost/square-savelli-la-chapelle-sur-erdre/,,,,,
Centre Socio-Culturel Soleil Levant,Composteur ouvert au quartier,,,,,47.2188038,-1.6096096999999645,,http://www.compostri.fr/compost/centre-socio-culturel-soleil-levant/,,,,,
La Nizanerie,Composteur ouvert au quartier,,,,,47.2052437,-1.5516660000000684,,http://www.compostri.fr/compost/la-nizanerie/,,,,,
Aire 38,Composteur ouvert au quartier,,,,,47.2030772,-1.552857700000004,,http://www.compostri.fr/compost/aire-38/,,,,,
Trentemoult,Composteur ouvert au quartier,,,,,47.19479159999999,-1.5783106999999743,,http://www.compostri.fr/compost/trentemoult/,,,,,
Square Anatole France,Composteur ouvert au quartier,,,,,47.2107653,-1.7304017000000158,,http://www.compostri.fr/compost/square-anatole-france/,,,,,
Soleil Rom,Composteur ouvert au quartier,,,,,47.243517,-1.4828196999999363,,http://www.compostri.fr/compost/soleil-rom-2/,,,,,
Village de la solidarité &#8211; association ROMSI,Composteur ouvert au quartier,,,,,47.2013867,-1.667682099999979,,http://www.compostri.fr/compost/village-de-la-solidarite-association-romsi/,,,,,
Parc du Croissant,Composteur ouvert au quartier,,,,,47.2364477,-1.5258174000000508,,http://www.compostri.fr/compost/parc-du-croissant/,,,,,
Parc Broussais,Composteur ouvert au quartier,,,,,47.22608959999999,-1.52228869999999,,http://www.compostri.fr/compost/parc-broussais/,,,,,
Maison de la solidarité,Composteur ouvert au quartier,,,,,47.2987616,-1.550350500000036,,http://www.compostri.fr/compost/maison-de-la-solidarite/,,,,,
Jardin Saint Lupien,Composteur ouvert au quartier,,,,,47.1914003,-1.5675257000000329,,http://www.compostri.fr/compost/jardin-saint-lupien/,,,,,
Jardins du Tillay,Composteur ouvert au quartier,,,,,47.2286863,-1.605263100000002,,http://www.compostri.fr/compost/jardins-du-tillay-2/,,,,,
Haute Île,Composteur ouvert au quartier,,,,,47.196548,-1.5537699000000202,,http://www.compostri.fr/compost/haute-ile/,,,,,
FJT Grand Voile,Composteur ouvert au quartier,,,,,47.1896552,-1.5641083000000435,,http://www.compostri.fr/compost/fjt-grand-voile/,,,,,
Centre Socio-culturel &#8211; maison du Port au Blé,Composteur ouvert au quartier,,,,,47.191435,-1.5584036000000197,,http://www.compostri.fr/compost/centre-socio-culturel-maison-du-port-au-ble/,,,,,
Centre Socio-culturel Henri Normand,Composteur ouvert au quartier,,,,,47.2147054,-1.6825397000000066,,http://www.compostri.fr/compost/centre-socio-culturel-henri-normand/,,,,,
Ecole des mines-résidence étudiante,Composteur ouvert au quartier,,,,,47.2820923,-1.5198500000000197,,http://www.compostri.fr/compost/ecole-des-mines-residence-etudiante-2/,,,,,
Clos Toreau,Composteur ouvert au quartier,,,,,47.1942128,-1.5290968,,http://www.compostri.fr/compost/clos-toreau/,,,,,
Clos Saint Julien,Composteur ouvert au quartier,,,,,47.1833364,-1.5828842,,http://www.compostri.fr/compost/clos-saint-julien/,,,,,
Barbonnerie &#8211; Pont Rousseau,Composteur ouvert au quartier,,,,,47.19074,-1.541113,,http://www.compostri.fr/compost/barbonnerie-pont-rousseau/,,,,,
Atelier du Retz emploi,Composteur ouvert au quartier,,,,,47.2004919,-1.7552545,,http://www.compostri.fr/compost/atelier-du-retz-emploi/,,,,,
Jardins de l&rsquo;ADDA,Composteur ouvert au quartier,,,,,47.2261039,-1.5595348,,http://www.compostri.fr/compost/jardins-de-ladda-2/,,,,,
Composteur de l&rsquo;Ecole Alexandre Vincent &#8211; Treillières,Composteur Pédagogique en établissement scolaire,,,,,47.327306,-1.62421,,http://www.compostri.fr/compost/composteur-de-lecole-alexandre-vincent-treillieres/,,,,,
Ecole Joseph Fraud &#8211; Treillières,Composteur Pédagogique en établissement scolaire,,,,,47.326765,-1.624253,,http://www.compostri.fr/compost/ecole-joseph-fraud-treillieres/,,,,,
Composteur de la cuisine,Composteur Pédagogique en établissement scolaire,,,,,47.24497119999999,-1.5918082000000595,,http://www.compostri.fr/compost/composteur-de-la-cuisine/,,,,,
Ecole maternelle et élémentaire de la Bernardière &#8211; Saint Herblain,Composteur Pédagogique en établissement scolaire,,,,,47.2060795,-1.6167874999999867,,http://www.compostri.fr/compost/ecole-maternelle-et-elementaire-de-la-bernardiere-saint-herblain/,,,,,
Ecole de la Métairie &#8211; Couëron,Composteur Pédagogique en établissement scolaire,,,,,47.2176808,-1.6978372999999465,,http://www.compostri.fr/compost/ecole-de-la-metairie-coueron/,,,,,
FJT Oceane,Composteur en résidence - copropriété,,,,,47.2209261,-1.623419799999965,,http://www.compostri.fr/compost/fjt-oceane/,,,,,
Ecole élémentaire de St Jean Boiseau,Composteur Pédagogique en établissement scolaire,,,,,47.1944575,-1.7239918000000216,,http://www.compostri.fr/compost/ecole-elementaire-de-st-jean-boiseau/,,,,,
Maison de la petite enfance &#8211; Saint Sébastien sur Loire,Composteur Pédagogique en établissement scolaire,,,,,47.206027,-1.502573,,http://www.compostri.fr/compost/maison-de-la-petite-enfance-saint-sebastien-sur-loire/,,,,,
Lycée Arago,Composteur Pédagogique en établissement scolaire,,,,,47.2520908,-1.5519953000000442,,http://www.compostri.fr/compost/lycee-arago/,,,,,
Ecole maternelle et élémentaire Batignolle,Composteur Pédagogique en établissement scolaire,,,,,47.2581012,-1.505484000000024,,http://www.compostri.fr/compost/ecole-maternelle-et-elementaire-batignolle/,,,,,
Ecole Port au Blé,Composteur Pédagogique en établissement scolaire,,,,,47.1894099,-1.5551677999999356,,http://www.compostri.fr/compost/ecole-port-au-ble/,,,,,
Ecole élémentaire des Plantes,Composteur Pédagogique en établissement scolaire,,,,,47.2348574,-1.5844406999999592,,http://www.compostri.fr/compost/ecole-elementaire-des-plantes/,,,,,
Ecole Le Linot primaire,Composteur Pédagogique en établissement scolaire,,,,,47.2671419,-1.527642300000025,,http://www.compostri.fr/compost/ecole-le-linot-primaire/,,,,,
Ecole Le Linot maternelle,Composteur Pédagogique en établissement scolaire,,,,,47.2671419,-1.527642300000025,,http://www.compostri.fr/compost/ecole-le-linot-maternelle/,,,,,
Ecole La Pierre Mara,Composteur Pédagogique en établissement scolaire,,,,,47.19511929999999,-1.6490022000000408,,http://www.compostri.fr/compost/ecole-la-pierre-mara/,,,,,
Ecole Jules Ferry,Composteur Pédagogique en établissement scolaire,,,,,47.2013867,-1.667682099999979,,http://www.compostri.fr/compost/ecole-jules-ferry/,,,,,
Ecole Jacques Prévert,Composteur Pédagogique en établissement scolaire,,,,,47.228517,-1.58368710000002,,http://www.compostri.fr/compost/ecole-jacques-prevert/,,,,,
Ecole élémentaire Henri Lesage,Composteur Pédagogique en établissement scolaire,,,,,47.1867428,-1.5003326999999445,,http://www.compostri.fr/compost/ecole-elementaire-henri-lesage/,,,,,
Ecole élémentaire Grand Carcouet,Composteur Pédagogique en établissement scolaire,,,,,47.2283069,-1.59183280000002,,http://www.compostri.fr/compost/ecole-elementaire-grand-carcouet/,,,,,
Ecole élémentaire Georges Sand,Composteur Pédagogique en établissement scolaire,,,,,47.259121,-1.5683728,,http://www.compostri.fr/compost/ecole-elementaire-georges-sand/,,,,,
Ecole maternelle George Brassens,Composteur Pédagogique en établissement scolaire,,,,,47.259121,-1.5683728,,http://www.compostri.fr/compost/ecole-maternelle-george-brassens/,,,,,
Ecole élémentaire Gay Lussac,Composteur Pédagogique en établissement scolaire,,,,,47.2276462,-1.5208594,,http://www.compostri.fr/compost/ecole-elementaire-gay-lussac/,,,,,
Ecole élémentaire des Garennes,Composteur Pédagogique en établissement scolaire,,,,,47.202061,-1.5785184,,http://www.compostri.fr/compost/ecole-elementaire-des-garennes/,,,,,
Ecole élémentaire François Dallet,Composteur Pédagogique en établissement scolaire,,,,,47.2334278,-1.5334281,,http://www.compostri.fr/compost/ecole-elementaire-francois-dallet/,,,,,
Ecole maternelle Fonteny,Composteur Pédagogique en établissement scolaire,,,,,47.205135,-1.5928257,,http://www.compostri.fr/compost/ecole-maternelle-fonteny/,,,,,
Ecole maternelle Fellonneau,Composteur Pédagogique en établissement scolaire,,,,,47.2314089,-1.5543489,,http://www.compostri.fr/compost/ecole-maternelle-fellonneau/,,,,,
Ecole Diwan,Composteur Pédagogique en établissement scolaire,,,,,47.2192366,-1.602329,,http://www.compostri.fr/compost/ecole-diwan/,,,,,
Ecole maternelle Dervallières-Chézine,Composteur Pédagogique en établissement scolaire,,,,,47.2270726,-1.5976218,,http://www.compostri.fr/compost/ecole-maternelle-dervallieres-chezine/,,,,,
Ecole élémentaire de la Contrie,Composteur Pédagogique en établissement scolaire,,,,,47.2150664,-1.6010558,,http://www.compostri.fr/compost/ecole-elementaire-de-la-contrie/,,,,,
Ecole Chêne-d&rsquo;Aron,Composteur Pédagogique en établissement scolaire,,,,,47.2123968,-1.561360499999978,,http://www.compostri.fr/compost/ecole-chene-daron/,,,,,
Ecole élémentaire de la Chauvinière,Composteur Pédagogique en établissement scolaire,,,,,47.252645,-1.574578400000064,,http://www.compostri.fr/compost/ecole-elementaire-de-la-chauviniere/,,,,,
Ecole élémentaire des Chataîgniers,Composteur Pédagogique en établissement scolaire,,,,,47.2204186,-1.6001197000000502,,http://www.compostri.fr/compost/ecole-elementaire-des-chataigniers/,,,,,
Ecole de la Bottière,Composteur Pédagogique en établissement scolaire,,,,,47.237928,-1.522485999999958,,http://www.compostri.fr/compost/ecole-de-la-bottiere/,,,,,
Ecole Alphonse Braud,Composteur Pédagogique en établissement scolaire,,,,,47.20165739999999,-1.5861475000000382,,http://www.compostri.fr/compost/ecole-alphonse-braud/,,,,,
Ecole Ange Guépin,Composteur Pédagogique en établissement scolaire,,,,,47.2175466,-1.5192799999999806,,http://www.compostri.fr/compost/ecole-ange-guepin/,,,,,
Ecole Alain Fournier,Composteur Pédagogique en établissement scolaire,,,,,47.2040719,-1.600138799999968,,http://www.compostri.fr/compost/ecole-alain-fournier/,,,,,
Ecole  Anatole de Monzie (primaire),Composteur Pédagogique en établissement scolaire,,,,,47.2026472,-1.5410670999999638,,http://www.compostri.fr/compost/ecole-anatole-de-monzie-primaire/,,,,,
College Gerard Philippe,Composteur Pédagogique en établissement scolaire,,,,,47.2826719,-1.4835963000000447,,http://www.compostri.fr/compost/college-gerard-philippe/,,,,,
Jardin des Garettes &#8211; Orvault,Composteur sur des jardins collectifs,,,,,47.22388179666477,-1.5197181701660156,,http://www.compostri.fr/compost/jardin-des-garettes-orvault/,,,,,
Jardins Verta&rsquo;vie &#8211; Vertou,Composteur sur des jardins collectifs,,,,,47.218044308214694,-1.5543073033358696,,http://www.compostri.fr/compost/jardins-vertavie-vertou/,,,,,
Jardins Famibio,Composteur sur des jardins collectifs,,,,,47.2746184,-1.4294688999999607,,http://www.compostri.fr/compost/jardins-famibio/,,,,,
Jardins familiaux de la Contrie,Composteur sur des jardins collectifs,,,,,47.21939322581723,-1.6016650199890137,,http://www.compostri.fr/compost/jardins-familiaux-de-la-contrie/,,,,,
Jardin les Escartons &#8211; Nantes,Composteur sur des jardins collectifs,,,,,47.1949368,-1.5401457,,http://www.compostri.fr/compost/jardin-les-escartons-nantes/,,,,,
Soleil Rom,Composteur sur des jardins collectifs,,,,,47.243517,-1.4828197,,http://www.compostri.fr/compost/soleil-rom/,,,,,
Malakoff-Idéelles,Composteur sur des jardins collectifs,,,,,47.2228968,-1.5254817,,http://www.compostri.fr/compost/malakoff-ideelles/,,,,,
Jardins du Tillay,Composteur sur des jardins collectifs,,,,,47.2286863,-1.605263100000002,,http://www.compostri.fr/compost/jardins-du-tillay/,,,,,
Jardins de l&rsquo;ADDA,Composteur sur des jardins collectifs,,,,,47.2261039,-1.5595348,,http://www.compostri.fr/compost/jardins-de-ladda/,,,,,
La Crapaudine,Siège de Compostri,,,,,47.1917,-1.5295,,http://www.compostri.fr/compost/la-crapaudine/,,,,,
Bureaux de Compostri,Siège de Compostri,,,,,47.2009667,-1.5715852,,http://www.compostri.fr/compost/bureaux-de-compostri/,,,,,
Crèche brin de malice,Composteur Pédagogique en établissement scolaire,,,,,47.1926906,-1.5326734999999871,,http://www.compostri.fr/compost/creche-brin-de-malice/,,,,,
Ecole des mines-résidence étudiante,Composteur en résidence - copropriété,,,,,47.282315,-1.520555,,http://www.compostri.fr/compost/ecole-des-mines-residence-etudiante/,,,,,
Moulin des Rives &#8211; Saint Aignan de Grandlieu,Composteur ouvert au quartier,,,,,47.124134,-1.630217,,http://www.compostri.fr/compost/moulin-des-rives-saint-aignan-de-grandlieu/,,,,,
